Id,Title,Description,Price,Original Price,Brand,Category id,Size id,Condition,Color,Secondary color,Images,Quantity,Shipping weight,Shipping weight unit,Shipping height,Shipping width,Shipping length,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,SKU,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note
,Adidas Hoodie Orange Vintage Y2K Womens XS Pullover 3 Stripes Embroidered,"Good Condition
Size: UK 30/32 (chest) - approx. women's XS-S (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s vintage Adidas pullover hoodie in bright orange with a large embroidered adidas wordmark and trefoil logo across the chest. Three grey stripes run the length of each sleeve, with a kangaroo pocket, ribbed cuffs and hem and a lined hood.",14.99,,Adidas,b1d3ddb2-054d-46ee-52e1-4f079b388670,02d57f77-78f5-0f68-8e09-b5a195e78035,Good,Orange,Gray,001_1.jpg|001_2.jpg|001_3.jpg|001_4.jpg|001_5.jpg|001_6.jpg|001_7.jpg|001_8.jpg|001_9.jpg|001_10.jpg|001_11.jpg,1,620,Grams,,,,2.95,,FALSE,FALSE,adidas|hoodie|orange|vintage|y2k|womens|xs|pullover|3|stripes|embroidered,VWM - Women's Y2K Mix,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Hooded (free text - no Hooded option in the list)
,Nike Georgia Bulldogs Hoodie Grey Zip Up Womens Small Vintage College Sweatshirt,"Very Good Vintage Condition
Size: Small Women's (4-6) (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Nike Georgia Bulldogs full-zip hoodie in heather grey with a red arched GEORGIA applique across the chest and an embroidered G bulldog patch at the hip. Red-tipped ribbed cuffs and hem, split kangaroo pockets and a lined drawstring hood.",19.99,,Nike,b1d3ddb2-054d-46ee-52e1-4f079b388670,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Gray,Red,002_1.jpg|002_2.jpg|002_3.jpg|002_4.jpg|002_5.jpg|002_6.jpg|002_7.jpg|002_8.jpg|002_9.jpg|002_10.jpg,1,580,Grams,,,,2.95,,FALSE,FALSE,nike|georgia|bulldogs|hoodie|grey|zip|up|womens|small|vintage|college|sweatshirt,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Full Zip | Neckline: Hooded (free text)
,Ralph Lauren Sweater Vest Navy Cable Knit Womens Medium Preppy Sleeveless Jumper,"Good Condition
Size: Medium (12-14) (Measurements provided on the images)
Era: 2000s

🧵Material: 100% Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Ralph Lauren cable knit sweater vest in navy with the signature embroidered pony at the chest. Sleeveless V-neck cut with ribbed neckline, armholes and hem - a preppy layering piece over a shirt or tee.",12.99,,Ralph Lauren,8ccf12e4-4a3b-98b5-2f18-e28dfaed9ebe,fb288854-9af5-1e28-20b7-2837ee7b6aed,Good,Navy,,003_1.jpg|003_2.jpg|003_3.jpg|003_4.jpg|003_5.jpg|003_6.jpg|003_7.jpg|003_8.jpg|003_9.jpg|003_10.jpg|003_11.jpg|003_12.jpg,1,320,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|ralph|lauren|sweater|vest|navy|cable|knit|womens|medium|preppy|sleeveless|jumper,VWM - Women's Y2K Mix,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Vest | Neckline: V-Neck | Sleeve length: Sleeveless
,Lacoste Polo Shirt Red Womens Small Vintage Pique Croc Logo Short Sleeve,"Good Condition
Size: Small Women's (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lacoste pique polo shirt in red with the woven crocodile patch at the chest. Ribbed collar and sleeve bands, two-button placket and a straight ribbed hem. Marks and discrepancies on the back and front, mainly on the back.",9.99,,Lacoste,94954653-2623-55ef-459f-259d8f557249,0a197135-09d9-7a16-9bc8-9fe09264a06a,Good,Red,,004_1.jpg|004_2.jpg|004_3.jpg|004_4.jpg|004_5.jpg|004_6.jpg|004_7.jpg|004_8.jpg|004_9.jpg|004_10.jpg|004_11.jpg,1,250,Grams,,,,2.95,,FALSE,FALSE,lacoste|polo|shirt|red|womens|small|vintage|pique|croc|logo|short|sleeve,VWM - Women's Y2K Mix,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: Polo | Sleeve length: Short Sleeve | Neckline: Collared
,Juicy Couture Shirt Dress Black Y2K Womens Size 6 XS Vintage Collared Midi,"Very Good Condition
Size: 2 (likely US 2 = UK 6 / XS - unconfirmed) (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Juicy Couture shirt dress in black with a rounded collar, pintucked bib and crown-stamped buttons down a full placket. Short sleeves with turn-back cuffs, a picot-trimmed hem and a softly A-line skirt.",17.99,,Juicy Couture,1785f9f8-8f46-52a3-3108-f961487772b9,808d6bf9-a57f-68f6-84b1-75dd78365695,VeryGood,Black,,005_1.jpg|005_2.jpg|005_3.jpg|005_4.jpg|005_5.jpg|005_6.jpg|005_7.jpg|005_8.jpg|005_9.jpg|005_10.jpg|005_11.jpg|005_12.jpg,1,350,Grams,,,,2.95,,FALSE,FALSE,juicy couture|juicy|couture|shirt|dress|black|y2k|womens|size|6|xs|vintage|collared|midi,VWM - Women's Y2K Mix,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Shirt Dress | Neckline: Collared | Sleeve length: Short Sleeve
,The North Face Denali Fleece Jacket Pink Grey Womens XL Vintage Full Zip,"Very Good Condition
Size: XL (Measurements provided on the images)
Era: 2000s

🧵Material: Polyester fleece with nylon overlays
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: The North Face Denali fleece jacket in pink with grey nylon shoulder and chest overlays. Full-length zip, two zipped hand pockets, an embroidered chest logo and elasticated cuffs.",14.99,,The North Face,53f58a32-4297-5d2a-13e1-f280dccc7b29,3d0d4408-03e4-6ea2-7468-c9d4a5540d55,VeryGood,Pink,Gray,006_1.jpg|006_2.jpg|006_3.jpg|006_4.jpg|006_5.jpg|006_6.jpg|006_7.jpg|006_8.jpg|006_9.jpg|006_10.jpg|006_11.jpg|006_12.jpg,1,680,Grams,,,,2.95,,FALSE,FALSE,the north face|north|face|denali|fleece|jacket|pink|grey|womens|xl|vintage|full|zip,VWM - Women's Y2K Mix,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Basic Jacket | Outer Shell Material: Polyester
,Von Dutch Track Jacket Black Velour Y2K Womens Medium Vintage Zip Up Hoodie,"Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton and polyester velour
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Von Dutch velour zip-up hoodie in black with tonal Von Dutch script embroidered across the back. Contrast ribbed cuffs and hem, front slash pockets and a printed graphic hood lining.",29.99,,Von Dutch,266eae6a-6f6b-9e8f-6486-14bc0cdf3ed7,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Black,,007_1.jpg|007_2.jpg|007_3.jpg|007_4.jpg|007_5.jpg|007_6.jpg|007_7.jpg|007_8.jpg|007_9.jpg|007_10.jpg|007_11.jpg|007_12.jpg|007_13.jpg|007_14.jpg|007_15.jpg|007_16.jpg|007_17.jpg,1,560,Grams,,,,2.95,,FALSE,FALSE,von dutch|von|dutch|track|jacket|black|velour|y2k|womens|medium|vintage|zip|up|hoodie,VWM - Women's Y2K Mix,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Track Jacket | Neckline: Hooded (free text)
,Lululemon Jacket Pink Womens Small Zip Up Athletic Running Track Top,"Very Good Condition
Size: Small Women's (no size label - owner's estimate, unconfirmed) (Measurements provided on the images)
Era: 2010s

🧵Material: Nylon and elastane
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lululemon full-zip athletic jacket in deep pink with contrast coral side panels and flatlock seaming throughout. Stand collar, zipped hand pockets and a branded metal zip pull.",22.99,,Lululemon,266eae6a-6f6b-9e8f-6486-14bc0cdf3ed7,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Pink,Red,008_1.jpg|008_2.jpg|008_3.jpg|008_4.jpg|008_5.jpg|008_6.jpg|008_7.jpg|008_8.jpg|008_9.jpg|008_10.jpg|008_11.jpg|008_12.jpg,1,420,Grams,,,,2.95,,FALSE,FALSE,lululemon|jacket|pink|womens|small|zip|up|athletic|running|track|top,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Track Jacket | Outer Shell Material: Nylon
,The North Face Fleece Jacket Turquoise Black Womens XS Full Zip Vintage Blue,"Very Good Vintage Condition
Size: XS (Measurements provided on the images)
Era: 2010s

🧵Material: Polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: The North Face full-zip fleece jacket in bright turquoise with black shoulder, side and hem panels. Fitted cut with a stand collar, zipped hand pockets and an embroidered chest logo. Small discrepancies on the arm, barely noticeable (see images).",12.99,,The North Face,53f58a32-4297-5d2a-13e1-f280dccc7b29,02d57f77-78f5-0f68-8e09-b5a195e78035,VeryGood,Turquoise,Black,009_1.jpg|009_2.jpg|009_3.jpg|009_4.jpg|009_5.jpg|009_6.jpg|009_7.jpg|009_8.jpg|009_9.jpg|009_10.jpg|009_11.jpg|009_12.jpg|009_13.jpg,1,480,Grams,,,,2.95,,FALSE,FALSE,the north face|north|face|fleece|jacket|turquoise|black|womens|xs|full|zip|vintage|blue,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Basic Jacket | Outer Shell Material: Polyester
,Carhartt Hoodie Burgundy Womens XS Vintage Faded Pullover Workwear Sweatshirt,"Very Good Vintage Condition
Size: XS (4-6) - relaxed fit (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Carhartt pullover hoodie in faded burgundy with the square Carhartt patch at the kangaroo pocket. Heavyweight brushed-back fleece, ribbed cuffs and hem and a drawstring hood. Relaxed workwear cut.",13.99,,Carhartt,b1d3ddb2-054d-46ee-52e1-4f079b388670,02d57f77-78f5-0f68-8e09-b5a195e78035,VeryGood,Burgundy,,010_1.jpg|010_2.jpg|010_3.jpg|010_4.jpg|010_5.jpg|010_6.jpg|010_7.jpg|010_8.jpg|010_9.jpg|010_10.jpg|010_11.jpg|010_12.jpg,1,600,Grams,,,,2.95,,FALSE,FALSE,carhartt|hoodie|burgundy|womens|xs|vintage|faded|pullover|workwear|sweatshirt,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Hooded (free text)
