Id,Title,Description,Price,Original Price,Brand,Category id,Size id,Condition,Color,Secondary color,Images,Quantity,Shipping weight,Shipping weight unit,Shipping height,Shipping width,Shipping length,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,SKU,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note
,Skinny Minnie Top Tunic Long Sleeve Y2K Floral Black Cream Womens Large,"Very Good Condition
Size: Large (Measurements provided on the images)
Era: Late 2000s to Early 2010s

🧵Material: Jersey knit with printed panels
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Late 2000s to Early 2010s Y2K Skinny Minnie longline tunic top in black and cream with an ornate baroque floral print body and contrast plain black sleeves. Asymmetric dipped hem and scoop neck, cut for a relaxed layering fit.",9.99,,Skinny Minnie,c31a3b30-37eb-9bcd-2f22-39331b368a0a,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,VeryGood,Black,Cream,001_1.jpg|001_2.jpg|001_3.jpg|001_4.jpg|001_5.jpg|001_6.jpg|001_7.jpg|001_8.jpg|001_9.jpg|001_10.jpg|001_11.jpg|001_12.jpg,1,,,,,,,,,,,VWM - Summer Women's Mix,,,,,,,,,
,Ralph Lauren Polo Shirt Striped Navy White Short Sleeve Vintage Mens XXL,"Very Good Vintage Condition
Size: XXL (Measurements provided on the images)
Era: 1990s to 2000s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s to 2000s Vintage Ralph Lauren striped polo shirt in navy with fine white and cream horizontal pinstripes. Classic two-button placket, ribbed collar and cuffs with the signature embroidered pony logo at the chest.",14.99,,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,e307171d-7e37-919c-42e5-6634573985a2,VeryGood,Navy,White,002_1.jpg|002_2.jpg|002_3.jpg|002_4.jpg|002_5.jpg|002_6.jpg|002_7.jpg|002_8.jpg|002_9.jpg,1,,,,,,,,,,,,,,,,,,,,
,Ralph Lauren Polo Shirt Tartan Check Plaid Green Navy Vintage Mens Small,"Very Good Condition
Size: Small (Measurements provided on the images)
Era: Mid 2000s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Mid 2000s Vintage Ralph Lauren tartan check polo shirt in green, navy and cream plaid with a contrast burgundy hem panel. Rare all-over check pattern with navy ribbed collar and the embroidered pony logo at the chest. Labels cut.",14.99,,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,78c1966f-1623-2e16-092e-b126ed286978,VeryGood,Multi,,003_1.jpg|003_2.jpg|003_3.jpg|003_4.jpg|003_5.jpg|003_6.jpg|003_7.jpg|003_8.jpg|003_9.jpg|003_10.jpg,1,,,,,,,,,,,VWM - RL Lacoste Polos,,,,,,,,,
,Ralph Lauren Polo Shirt Womens Black Short Sleeve Slim Fit Large,"Very Good Condition
Size: Large (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Ralph Lauren women's polo shirt in black with a four-button placket and contrast white buttons. Slim tailored cut with ribbed collar and cuffs and the signature embroidered pony logo in tan at the chest.",12.99,,Ralph Lauren,94954653-2623-55ef-459f-259d8f557249,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,VeryGood,Black,,004_1.jpg|004_2.jpg|004_3.jpg|004_4.jpg|004_5.jpg|004_6.jpg|004_7.jpg|004_8.jpg|004_9.jpg|004_10.jpg,1,,,,,,,,,,,VWM - Women's Y2K Mix,,,,,,,,,
,Fredericks of Hollywood Corset Basque Bustier Red Black Lace Vintage 36,"Very Good Condition
Size: 36 (Measurements provided on the images)
Era: 1990s to 2000s

🧵Material: Satin with lace trim
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s to 2000s Vintage Frederick's of Hollywood satin basque corset in red with black lace trim and ribbon detailing. Boned structured bodice, front zip fastening, adjustable straps and suspender ribbons at the hem.",12.99,,Frederick's of Hollywood,2c80ed22-1eb3-1a89-4cb0-16eb577636b2,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Red,Black,005_1.jpg|005_2.jpg|005_3.jpg|005_4.jpg|005_5.jpg|005_6.jpg|005_7.jpg|005_8.jpg|005_9.jpg,1,,,,,,,,,,,VWM - Women's Summer Mix,,,,,,,,,
,Avon Fashions Bustier Corset Bra Top Black Lace Vintage Small,"Very Good Condition
Size: Small (Measurements provided on the images)
Era: 1980s to 1990s

🧵Material: Lace with satin trim
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1980s to 1990s Vintage Avon Fashions strapless bustier corset top in black with sheer lace panels and satin trim. Boned longline bodice with structured cups and back fastening, a classic lingerie silhouette.",8.99,,Avon Fashions,2c80ed22-1eb3-1a89-4cb0-16eb577636b2,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Black,,006_1.jpg|006_2.jpg|006_3.jpg|006_4.jpg|006_5.jpg|006_6.jpg|006_7.jpg|006_8.jpg,1,,,,,,,,,,,VWM - Women's Y2K Mix,,,,,,,,,
,Ralph Lauren Polo Shirt Womens Navy Blue Short Sleeve Medium 10 12,"Very Good Condition
Size: Medium (10-12) (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Ralph Lauren women's polo shirt in navy blue with a two-button placket and the signature embroidered pony logo in white at the chest. Clean preppy styling with ribbed collar and cuffs and side vents at the hem.",12.99,,Ralph Lauren,94954653-2623-55ef-459f-259d8f557249,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Navy,,007_1.jpg|007_2.jpg|007_3.jpg|007_4.jpg|007_5.jpg|007_6.jpg|007_7.jpg|007_8.jpg|007_9.jpg|007_10.jpg|007_11.jpg,1,,,,,,,,,,,VWM - Women's Y2K Mix,,,,,,,,,
,Nike Track Jacket Hooded Windbreaker Green Track Field Vintage Mens Large,"Very Good Condition
Size: Large (oversized fit) (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Synthetic shell with mesh lining
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Nike hooded windbreaker jacket in green with R.P.H. Track & Field embroidery at the chest and COACH branding to the reverse. Full zip fastening, drawcord hood and hem, side pockets and the embroidered Swoosh logo.",24.99,,Nike,1188aafb-450c-6f08-68e8-6dbd6e662784,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Green,,008_1.jpg|008_2.jpg|008_3.jpg|008_4.jpg|008_5.jpg|008_6.jpg|008_7.jpg|008_8.jpg|008_9.jpg|008_10.jpg|008_11.jpg|008_12.jpg|008_13.jpg|008_14.jpg,1,,,,,,,,,,,VWM - Track Jacket,,,,,,,,,
,Harley Davidson Hoodie Zip Up Sweatshirt Cardigan White Pink Womens Medium,"Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton blend fleece-back jersey
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Harley Davidson women's zip up hooded sweatshirt in white with a large pink and black rose and script graphic to the chest and sleeve. Full zip fastening, lined hood and ribbed cuffs and hem.",14.99,,Harley Davidson,bd8faf62-88ba-8f4c-28e7-6d76f491596f,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,White,Pink,009_1.jpg|009_2.jpg|009_3.jpg|009_4.jpg|009_5.jpg|009_6.jpg|009_7.jpg|009_8.jpg|009_9.jpg|009_10.jpg|009_11.jpg|009_12.jpg|009_13.jpg,1,,,,,,,,,,,VWM - Women's Y2K Mix,,,,,,,,,
,Ralph Lauren Polo Shirt Big Pony Navy Blue Orange Womens XL,"Very Good Vintage Condition
Size: XL (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren Big Pony polo shirt in navy blue with an oversized orange embroidered pony at the chest and a green number 3 patch to the sleeve. Contrast green side panels and split hem. One small discrepancy on the front (see images).",9.99,,Ralph Lauren,94954653-2623-55ef-459f-259d8f557249,3d0d4408-03e4-6ea2-7468-c9d4a5540d55,VeryGood,Navy,Green,010_1.jpg|010_2.jpg|010_3.jpg|010_4.jpg|010_5.jpg|010_6.jpg|010_7.jpg|010_8.jpg|010_9.jpg|010_10.jpg|010_11.jpg,1,,,,,,,,,,,VWM - RL Lacoste Polos,,,,,,,,,
,Nike Track Jacket Windbreaker Black Navy Yellow Swoosh Vintage Mens XL,"Very Good Vintage Condition
Size: XL (Measurements provided on the images)
Era: Late 1990s to Early 2000s

🧵Material: Synthetic shell with mesh lining
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Late 1990s to Early 2000s Vintage Nike track jacket in black and navy with a curved yellow contrast stripe across the chest and the embroidered Swoosh logo. Full zip fastening, funnel collar, side pockets and elasticated cuffs and hem. White marks on right sleeve (see images).",14.99,,Nike,1188aafb-450c-6f08-68e8-6dbd6e662784,471245b9-1139-0a68-77c5-a26a9e635e2f,VeryGood,Black,Navy,011_1.jpg|011_2.jpg|011_3.jpg|011_4.jpg|011_5.jpg|011_6.jpg|011_7.jpg|011_8.jpg|011_9.jpg|011_10.jpg|011_11.jpg|011_12.jpg|011_13.jpg|011_14.jpg|011_15.jpg|011_16.jpg,1,,,,,,,,,,,VWM - Track Jacket,,,,,,,,,
